Open,High,Low,Close,Volume,MarketCap,Date
0.06183332,0.06634905,0.05261677,0.05816341,75.42,194510.84,"2010-07-13"
0.07879913,0.08360209,0.06903579,0.07416855,573.24,256302.41,"2010-07-19"
0.06976299,0.07825864,0.06472816,0.06895142,1555.03,242332.21,"2010-07-25"
0.06970508,0.07158763,0.05164856,0.06046468,2595.17,216655.53,"2010-08-01"
0.06115977,0.067016,0.05067227,0.05964825,2625.28,217398.49,"2010-08-07"
0.06290812,0.0667319,0.05325986,0.06299919,4404.59,234424.72,"2010-08-14"
0.06994254,0.07134897,0.05853218,0.06581428,4171.63,248006.31,"2010-08-20"
0.06946493,0.07358336,0.05874443,0.06647771,8983.94,255192.98,"2010-08-27"
0.06252651,0.06697775,0.05055178,0.06260652,8145.96,243393.16,"2010-09-02"
0.0599086,0.0627864,0.04868664,0.06052719,1736.18,238723.78,"2010-09-09"
0.06080235,0.08798316,0.05730564,0.08017105,3660.94,320437.68,"2010-09-15"
0.0601967,0.06785769,0.05927085,0.06167253,11538.45,250885.4,"2010-09-22"
0.0609233,0.06640338,0.05602733,0.06121943,7092.92,253063.91,"2010-09-28"
0.06045428,0.0746667,0.05620154,0.06092854,33882.93,254420.83,"2010-10-04"
0.11345086,0.12391423,0.10179655,0.11767041,14122.2,497862.04,"2010-10-11"
0.10194793,0.13183186,0.0981136,0.10547627,18151.31,452814.47,"2010-10-17"
0.11000634,0.15888465,0.11000634,0.12712502,13862.21,555211.38,"2010-10-24"
0.19008669,0.21158316,0.17863112,0.19357477,26586.5,858518.63,"2010-10-30"
0.24713548,0.35457746,0.23541575,0.32784901,32714.61,1476306.83,"2010-11-06"
0.23283656,0.27296145,0.20652011,0.2584812,40766.91,1181070.61,"2010-11-12"
0.27888182,0.32309334,0.26455084,0.28651184,2151.83,1331069.55,"2010-11-19"
0.28655238,0.29316179,0.24392343,0.28,1677.21,1313652.67,"2010-11-25"
0.24818038,0.27274432,0.21980882,0.24036115,20401.71,1143692.44,"2010-12-02"
0.23111195,0.27749873,0.22390633,0.23698327,3430.51,1143924.17,"2010-12-08"
0.2299656,0.27753358,0.21564682,0.2408912,10447.09,1175133.52,"2010-12-14"
0.26518131,0.30390187,0.24115804,0.26736488,9250.15,1320739.62,"2010-12-21"
0.26037419,0.29789821,0.23250033,0.26933414,4941.16,1343068.36,"2010-12-27"
0.30013702,0.33838646,0.27784764,0.29734758,1427.5,1500259.79,"2011-01-03"
0.32168196,0.39770308,0.31075822,0.32166037,1684.41,1637934.82,"2011-01-09"
0.39888188,0.41416322,0.34785988,0.39097345,2774.79,2014363.64,"2011-01-16"
0.38759435,0.44888446,0.36753511,0.4435984,10503.75,2308031.39,"2011-01-22"
0.44597558,0.49479067,0.41941445,0.44897797,1448.82,2362353.72,"2011-01-29"
0.72606859,0.83729487,0.6480998,0.80887019,42195.52,4296455.57,"2011-02-04"
0.9799584,1.10954663,0.84364295,1.0754629,13334.61,5781984.31,"2011-02-11"
1.06373113,1.27702966,1.01031423,1.04889086,4002.65,5706149.84,"2011-02-17"
0.87632091,0.9181206,0.75515674,0.89467964,6725.49,4921744.54,"2011-02-23"
0.94020426,1.01486764,0.79918279,0.9418121,2752.12,5246862.68,"2011-03-02"
0.88752454,0.97493366,0.78149505,0.88751374,4534.77,5004623.42,"2011-03-08"
0.90648269,0.96205689,0.75670895,0.89949294,2733.6,5111795.9,"2011-03-15"
0.81061723,1.01259573,0.762962,0.77856454,3709.93,4455588.62,"2011-03-21"
0.88722045,1.09275459,0.84995645,0.87429308,12616.94,5049326.69,"2011-03-28"
